APP.,SF,N Docs,GB,N threads,exec time,Overall,CPU(W/S),RAM(W/S),SD(W/S),NIC(W/S)
5_Documents-Similarities,1,,,3,429,17668.38,16566,1092.96,9.42,0
5_Documents-Similarities,1,,,4,330,25005.3413,23857.4413,1139,8.9,0
5_Documents-Similarities,1,,,5,471,40087.48,38754,1314.95,18.53,0
5_Documents-Similarities,3,,,1,1285,27938.81762,20367.00368,7553.753,18.06094,0
5_Documents-Similarities,3,,,2,1284,37518.2521,33874.7611,3629.221,14.27,0
5_Documents-Similarities,3,,,3,1260,63664.6993,58910.66,4712.6357,41.4036,0
5_Documents-Similarities,3,,,4,1132,37321.1393,31288,6001.4293,31.71,0
5_Documents-Similarities,3,,,5,716,47113.74916,39379.3,7635.54916,98.9,0
5_Documents-Similarities,5,,,1,2027,39192.98697,27432.9,11712.815,47.27197,0
5_Documents-Similarities,5,,,2,1541,61572.4329,54026.56,7491.26,54.6129,0
5_Documents-Similarities,5,,,3,1528,15175.992,6444.207,8669.3,62.485,0
5_Documents-Similarities,5,,,4,1300,41896.60237,33467.3097,8360.42016,68.87251,0
5_Documents-Similarities,5,,,5,1211,16385.422,7407,8855.902,122.52,0
6_Documents-Similarities-2,1,,,1,385,3617.43566,1258.28566,2349.14,10,0.01
6_Documents-Similarities-2,1,,,2,419,17034.15007,8056.2,8967.801,10.10607,0.043
6_Documents-Similarities-2,1,,,3,409,19383.7551,13356,6016.08574,11.66936,0
6_Documents-Similarities-2,1,,,4,247,18684.77869,12937.24706,5737.08,10.423,0.02863
6_Documents-Similarities-2,1,,,5,448,35932.901,27691.841,8230.42,10.6,0.04
6_Documents-Similarities-2,3,,,1,1240,90600.1536,10551.27,80037.7,11.057,0.1266
6_Documents-Similarities-2,3,,,2,1470,15612.6422,8942.3,6660.7,9.5932,0.049
6_Documents-Similarities-2,3,,,3,1449,72345.2573,47515.9002,24799.6,29.6,0.1571
6_Documents-Similarities-2,3,,,4,1414,37275.8197,27434.4097,9834.39,7,0.02
6_Documents-Similarities-2,3,,,5,890,81321.6,63773,17507.2,41.4,0
6_Documents-Similarities-2,5,,,1,1925,154583.8612,17039.19,137460.4612,84,0.21
6_Documents-Similarities-2,5,,,2,1490,564803.3318,7496.885,557269.9498,35.797,0.7
6_Documents-Similarities-2,5,,,3,1312,267380.19,16531.47,250760,88.72,0
6_Documents-Similarities-2,5,,,4,1078,534553.3206,7829.9,526687.3,35.4466,0.674
6_Documents-Similarities-2,5,,,5,1296,261112.25956,16238.65,244784,88.86,0.74956
7_Tables-Intra-Metadata,1,,,1,319,743.06,134.042,607.797,1.221,0
7_Tables-Intra-Metadata,1,,,2,330,1331.9797,396.148,934,1.8317,0
7_Tables-Intra-Metadata,1,,,3,335,2281.16666,948.1219,1329.8656,3.17916,0
7_Tables-Intra-Metadata,1,,,4,261,3103.7,1491.9,1608,3.8,0
7_Tables-Intra-Metadata,1,,,5,260,4393.355,2435.06,1954.395,3.9,0
7_Tables-Intra-Metadata,3,,,1,1192,2024.37608,278.99508,1740,5.381,0
7_Tables-Intra-Metadata,3,,,2,965,3801.443,1077.773,2714.03,9.64,0
7_Tables-Intra-Metadata,3,,,3,1056,5616.2947,2215.7,3386.5947,14,0
7_Tables-Intra-Metadata,3,,,4,878,9695.58,4817,4868.58,10,0
7_Tables-Intra-Metadata,3,,,5,585,12736.42132,7102.19,5621.5316,12.69972,0
7_Tables-Intra-Metadata,5,,,1,2060,3198.4696,421,2766.13,11.3396,0
7_Tables-Intra-Metadata,5,,,2,1627,6002.74174,1602.4,4387.32174,13.02,0
7_Tables-Intra-Metadata,5,,,3,1550,7298.81939,1965.66146,5303.75793,29.4,0
7_Tables-Intra-Metadata,5,,,4,1366,7254.5017,2048.72,5174.6597,31.122,0
7_Tables-Intra-Metadata,5,,,5,1473,11943.72163,5824.5,6082.32,36.90163,0
8_Tables_inter_Metadata,1,,,1,8457,81166.9,80712.3,340.6,114,0
8_Tables_inter_Metadata,1,,,2,9210,61245.1159,60327.716,757.4799,159.92,0
8_Tables_inter_Metadata,1,,,3,3164,39637.8712,38097.652,644.3092,895.91,0
8_Tables_inter_Metadata,1,,,4,4576,48605.26614,47039.15028,1317,249.11586,0
8_Tables_inter_Metadata,1,,,5,5971,73093.77,70817.33,2186.94,89.5,0
8_Tables_inter_Metadata,3,,,1,31029,357914.1591,336347.727,1381.7741,20184.658,0
8_Tables_inter_Metadata,3,,,2,35865,232375.9818,218125.385,2851.9488,11398.648,0
8_Tables_inter_Metadata,3,,,3,40895,30998.122,143.154,3863.795,26991.173,0
8_Tables_inter_Metadata,3,,,4,41517,231896.9119,208005.9089,13698.003,10193,0
8_Tables_inter_Metadata,3,,,5,51933,332732.81957,289711.9,20703.9,22317.01957,0
8_Tables_inter_Metadata,5,,,1,45652,347415.2183,290447.8854,41759.0329,15208.3,0
8_Tables_inter_Metadata,5,,,2,53120,472653.18515,392759.5249,52792.47,27101.19025,0
8_Tables_inter_Metadata,5,,,3,55312,397873.2834,321364.2232,64673.8597,11835.2005,0
8_Tables_inter_Metadata,5,,,4,41512,434996.285,332736.428,76033.206,26226.651,0
8_Tables_inter_Metadata,5,,,5,43452,470185.41,379117.7,71524,19543.71,0
