APP.,SF,N Docs,GB,N threads,exec time,Overall,CPU(W/S),RAM(W/S),SD(W/S),NIC(W/S)
8_Tables_inter_Metadata,1,,,4,4884,52381.4629,50855.92402,1288.23278,237.3061,0
8_Tables_inter_Metadata,1,,,5,6153,79987.06064,77886.44036,2002.81164,97.80864,0
8_Tables_inter_Metadata,3,,,1,29103,332922.5375,311887.9072,1466.20188,19568.42842,0
8_Tables_inter_Metadata,3,,,2,40135,223241.95994,208627.0144,2835.34664,11779.5989,0
8_Tables_inter_Metadata,3,,,3,41695,29521.138472,137.535392,3512.80078,25870.8023,0
8_Tables_inter_Metadata,3,,,4,41963,237490.68682,213559.9423,13430.16628,10500.57824,0
8_Tables_inter_Metadata,3,,,5,51447,336897.65225,293705.9708,20372.89856,22818.78289,0
8_Tables_inter_Metadata,5,,,1,46318,334197.84914,275990.4546,44353.49702,13853.89752,0
8_Tables_inter_Metadata,5,,,2,49880,497747.75089,414614.4731,53320.6878,29812.58999,0
8_Tables_inter_Metadata,5,,,3,55932,366405.81132,292089.1088,61438.325,12878.37752,0
8_Tables_inter_Metadata,5,,,4,49864,438254.87038,341316.91,70080.39154,26857.56884,0
8_Tables_inter_Metadata,5,,,5,38998,469005.61684,372272.71,75362.8366,21370.07024,0
