APP.,SF,N Docs,GB,N threads,exec time,Overall,CPU(W/S),RAM(W/S),SD(W/S),NIC(W/S)
1_DocumentDataGen.py,1,5000,3.74445,1,21559,7547.4734,589.03806,726.93004,5331.9673,899.538
1_DocumentDataGen.py,1,5000,5.2007,2,13225,6990.99519,736.69468,687.97047,4740.11894,826.2111
1_DocumentDataGen.py,1,5000,4.1,3,8393,5629.16682,474.61332,671.49898,3630.80032,852.2542
1_DocumentDataGen.py,1,5000,3.4404,4,6746,4686.66034,513.15204,712.82281,2365.4595,1095.22599
1_DocumentDataGen.py,1,5000,4.1,5,4605,3435.27989,390.25762,757.19288,1221.08119,1066.7482
1_DocumentDataGen.py,3,15000,14.07205,1,69507,42319.73419,592.19631,1510.46755,37229.65333,2987.417
1_DocumentDataGen.py,3,15000,13.28102,2,38564,37585.48715,759.43767,1323.55108,32725.1384,2777.36
1_DocumentDataGen.py,3,15000,12.9862,3,22801,26404.79931,471.12877,1119.76057,21801.18597,3012.724
1_DocumentDataGen.py,3,15000,9.155,4,16417,24408.44031,507.52013,900.99906,20454.46412,2545.457
1_DocumentDataGen.py,3,15000,12.71588,5,19081,26610.91668,384.08178,1143.80043,21663.58147,3419.453
1_DocumentDataGen.py,5,25000,18.8,1,103796,42480.10337,700.97222,957.14079,37817.07374,3004.91662
1_DocumentDataGen.py,5,25000,14.6412,2,57788,51078.03364,975.09813,1437.51576,43860.84875,4804.571
1_DocumentDataGen.py,5,25000,22.2318,3,48436,43673.63071,706.07785,1866.97628,34250.65558,6849.921
1_DocumentDataGen.py,5,25000,21.04515,4,39850,42182.64679,820.77526,1451.67928,32363.91425,7546.278
1_DocumentDataGen.py,5,25000,19.361,5,29212,42866.30985,874.07929,1437.90833,33143.98423,7410.338
2_TabularDataGen.py,1,,0.3,1,40,221.87416,133.76698,87.543,0.56418,0
2_TabularDataGen.py,1,,0.3,2,34,197.13786,114.66016,82.14084,0.33686,0
2_TabularDataGen.py,1,,0.3,3,47,202.18908,120.24954,81.57724,0.3623,0
2_TabularDataGen.py,1,,0.4,4,43,205.95086,123.0978,82.33112,0.52194,0
2_TabularDataGen.py,1,,0.3,5,42,199.4956,119.07376,80.40616,0.01568,0
2_TabularDataGen.py,3,,0.9,1,85,484.00336,264.0902,218.83726,1.0759,0
2_TabularDataGen.py,3,,0.8,2,83,545.25016,315.40734,229.17392,0.6689,0
2_TabularDataGen.py,3,,0.8,3,94,525.16778,295.98278,228.43196,0.75304,0
2_TabularDataGen.py,3,,0.8,4,87,497.19089,267.90939,228.7104,0.5711,0
2_TabularDataGen.py,3,,0.8,5,77,459.08162,240.56424,217.59708,0.9203,0
2_TabularDataGen.py,5,,1.4,1,143,796.82172,439.58908,355.03972,2.19292,0
2_TabularDataGen.py,5,,1.3,2,158,754.33298,397.79704,354.26928,2.26666,0
2_TabularDataGen.py,5,,1.4,3,124,817.6033,453.48578,361.82688,2.29064,0
2_TabularDataGen.py,5,,1.3,4,150,808.0663,430.27698,375.61186,2.17746,0
2_TabularDataGen.py,5,,1.4,5,138,851.27374,469.23086,379.54944,2.49344,0
3_BasicMetadata,1,,,1,3963,7076.35662156,4185.49872,2873.64086,17.21704156,0
3_BasicMetadata,1,,,2,1544,4663.82801378,2666.91882,1981.3257,15.58349378,0
3_BasicMetadata,1,,,3,1529,6860.57333732,3611.47727,3234.93466,14.16140732,0
3_BasicMetadata,1,,,4,930,4543.3854648,688.51794,3839.5274,15.3401248,0
3_BasicMetadata,1,,,5,831,5022.0098968,566.91707,4444.90122,10.1916068,0
3_BasicMetadata,3,,,1,7205,16306.6807136,9488.58484,6233.5421,584.5537736,0
3_BasicMetadata,3,,,2,4039,13952.3002446,7975.90722,5830.00802,146.3850046,0
3_BasicMetadata,3,,,3,3056,13194.4584484,6889.9849,6201.92322,102.5503284,0
3_BasicMetadata,3,,,4,2491,9296.1937374,1340.88558,7694.39138,260.9167774,0
3_BasicMetadata,3,,,5,2182,7713.61230292,1278.11288,6364.64154,70.85788292,0
3_BasicMetadata,5,,,1,10799,17407.106035,10295.46492,6149.40466,962.236455,0
3_BasicMetadata,5,,,2,6719,22403.0950782,10919.33872,10571.13116,912.6251982,0
3_BasicMetadata,5,,,3,5402,20941.0528188,9952.26192,10093.60002,895.1908788,0
3_BasicMetadata,5,,,4,4646,21841.0499756,10768.42172,10184.44256,888.1856956,0
3_BasicMetadata,5,,,5,2927,19675.267085,8489.7582,10340.93638,844.572505,0
4_Documents-Groupings,1,,,1,78,372.95271,184.84466,187.46792,0.64013,0
4_Documents-Groupings,1,,,2,42,542.90238,319.52968,222.5127,0.86,0
4_Documents-Groupings,1,,,3,42,729.14029,454.54908,273.67941,0.9118,0
4_Documents-Groupings,1,,,4,48,832.56648,522.10482,309.74466,0.717,0
4_Documents-Groupings,1,,,5,26,1157.94926,799.42492,357.81354,0.7108,0
4_Documents-Groupings,3,,,1,59,376.60789,163.34191,212.46858,0.7974,0
4_Documents-Groupings,3,,,2,63,587.45201,317.16502,269.46436,0.82263,0
4_Documents-Groupings,3,,,3,57,792.02876,472.08858,319.3159,0.62428,0
4_Documents-Groupings,3,,,4,58,1130.04473,759.65912,369.61161,0.774,0
4_Documents-Groupings,3,,,5,50,1276.73505,863.26899,412.68338,0.78268,0
4_Documents-Groupings,5,,,1,104,413.90834,171.53782,241.554,0.81652,0
4_Documents-Groupings,5,,,2,82,675.42988,386.10958,288.68696,0.63334,0
4_Documents-Groupings,5,,,3,100,751.24841,408.11,342.37598,0.76243,0
4_Documents-Groupings,5,,,4,81,984.30446,419.17912,564.30324,0.8221,0
4_Documents-Groupings,5,,,5,69,1497.83546,914.11498,582.51112,1.20936,0
5_Documents-Similarities,1,,,1,444,5949.745797,4923.746528,1016.472041,9.527228,0
5_Documents-Similarities,1,,,2,355,10596.685703,9552.177386,1040.784581,3.723736,0
5_Documents-Similarities,1,,,3,475,18713.028427,17624.00462,1080.492599,8.531208,0
5_Documents-Similarities,1,,,4,330,24777.74793,23644.83324,1123.88909,9.0256,0
5_Documents-Similarities,1,,,5,463,37201.319615,35758.83977,1425.485921,16.993924,0
5_Documents-Similarities,3,,,1,1449,28512.122852,21210.80984,7281.955528,19.357484,0
5_Documents-Similarities,3,,,2,1304,34433.631041,30761.60895,3658.114279,13.907812,0
5_Documents-Similarities,3,,,3,1208,60176.750835,55159.90872,4979.171247,37.670868,0
5_Documents-Similarities,3,,,4,1176,38109.13083,32635.111,5439.065126,34.954704,0
5_Documents-Similarities,3,,,5,738,45313.295056,38247.86128,6975.197108,90.236668,0
5_Documents-Similarities,5,,,1,2063,39970.762668,29032.9519,10888.79154,49.019228,0
5_Documents-Similarities,5,,,2,1597,67244.897278,59429.15691,7758.627292,57.113076,0
5_Documents-Similarities,5,,,3,1420,13910.80386,5979.933,7869.24826,61.6226,0
5_Documents-Similarities,5,,,4,1326,39431.117458,30666.95684,8695.591728,68.56889,0
5_Documents-Similarities,5,,,5,1325,17314.733264,7670.4408,9533.285864,111.0066,0
6_Documents-Similarities-2,1,,,1,437,3275.191516,1166.9987,2097.331012,10.850144,0.01166
6_Documents-Similarities-2,1,,,2,381,17300.587954,7637.1294,9652.655436,10.755438,0.04768
6_Documents-Similarities-2,1,,,3,431,19422.781958,12915.69965,6495.576764,11.416504,0.08904
6_Documents-Similarities-2,1,,,4,273,18343.38184,11804.73909,6528.185232,10.431788,0.02573
6_Documents-Similarities-2,1,,,5,420,36577.68044,28613.00324,7954.369496,10.257344,0.05036
6_Documents-Similarities-2,3,,,1,1102,92531.031908,9847.704048,82672.65656,10.543,0.1283
6_Documents-Similarities-2,3,,,2,1400,14264.9607,8272.083544,5984.216372,8.615684,0.0451
6_Documents-Similarities-2,3,,,3,1601,72637.195904,49447.77794,23158.11378,31.149244,0.15494
6_Documents-Similarities-2,3,,,4,1422,35061.68838,25647.82404,9406.453752,7.379648,0.03094
6_Documents-Similarities-2,3,,,5,810,78480.64044,59284.17796,19152.76428,43.2942,0.404
6_Documents-Similarities-2,5,,,1,1999,137166.694496,15654.05456,121417.6948,94.729416,0.21572
6_Documents-Similarities-2,5,,,2,1400,526562.669468,8199.685612,518324.2899,38.024636,0.66932
6_Documents-Similarities-2,5,,,3,1382,267888.492872,16412.41988,251382.8646,92.761472,0.44692
6_Documents-Similarities-2,5,,,4,1176,554545.80157,7711.581472,546794.1681,39.368198,0.6838
6_Documents-Similarities-2,5,,,5,1450,268781.32804,16293.20186,252401.3186,85.95468,0.8529
7_Tables-Intra-Metadata,1,,,1,323,780.2568,133.58738,645.4729,1.19652,0
7_Tables-Intra-Metadata,1,,,2,304,1380.35262,405.04706,973.56714,1.73842,0
7_Tables-Intra-Metadata,1,,,3,307,2236.51456,926.58334,1306.67138,3.25984,0
7_Tables-Intra-Metadata,1,,,4,245,3131.94502,1589.82284,1538.28712,3.83506,0
7_Tables-Intra-Metadata,1,,,5,272,4378.81954,2570.7589,1804.19204,3.8686,0
7_Tables-Intra-Metadata,3,,,1,1008,2064.16124,268.78062,1789.73954,5.64108,0
7_Tables-Intra-Metadata,3,,,2,1047,3726.24122,1095.32914,2621.18702,9.72506,0
7_Tables-Intra-Metadata,3,,,3,1152,5952.20624,2278.19862,3661.16252,12.8451,0
7_Tables-Intra-Metadata,3,,,4,816,9656.00722,4447.53504,5198.74606,9.72612,0
7_Tables-Intra-Metadata,3,,,5,653,13619.2391,7612.57614,5992.91654,13.74642,0
7_Tables-Intra-Metadata,5,,,1,1904,3361.92458,404.06662,2946.1418,11.71616,0
7_Tables-Intra-Metadata,5,,,2,1797,6077.53262,1619.13533,4444.53466,13.86263,0
7_Tables-Intra-Metadata,5,,,3,1832,7651.56038,1898.96318,5725.31072,27.28648,0
7_Tables-Intra-Metadata,5,,,4,1622,7705.05608,2158.14487,5518.02878,28.88243,0
7_Tables-Intra-Metadata,5,,,5,1487,11482.4986,5521.94665,5924.54486,36.00709,0
8_Tables_inter_Metadata,1,,,1,8159,82427.09284,81953.63884,361.86776,111.58624,0
8_Tables_inter_Metadata,1,,,2,7890,59892.21164,58937.05128,806.61124,148.54912,0
8_Tables_inter_Metadata,1,,,3,3506,41323.30446,39854.49642,604.96496,863.84308,0
